tournament_id,player_id,Finish,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total
401353273,10166,1,0.75,0.82,0.7,0.65,2.17,2.92
401353273,9517,CUT,-0.04,0.25,-0.67,-0.07,-0.47,-0.51
401353273,10372,CUT,-0.61,0.08,0.44,-0.02,0.5,-0.11
401353273,9484,CUT,-2.1,-0.95,0.52,0.04,-0.26,-2.36
401353273,9127,CUT,0.48,0.18,-1.06,0.29,-0.59,-0.11
401353273,1626,CUT,0.74,-0.94,-1.75,-1.67,-4.35,-3.61
401353273,2283,CUT,0.17,1.15,-1.21,0.19,0.06,0.23
401353273,4383,CUT,-1.81,-0.22,-0.24,1.16,0.7,-1.11
401353273,9584,CUT,0.33,-0.26,-2.38,0.2,-2.44,-2.11
401353273,3599,CUT,0.57,-0.33,-0.65,-1.2,-2.18,-1.61
401353273,11098,CUT,-0.96,-0.07,-1.07,1.49,0.35,-0.61
401353273,205,CUT,-0.02,0.78,-1.09,-0.77,-1.09,-1.11
401353273,9687,CUT,-0.55,-0.35,-0.32,-0.38,-1.15,-1.7
401353273,1264,CUT,-0.53,0.48,0.88,0.06,1.32,0.8
401353273,11456,CUT,-1.72,0.72,0.04,-0.15,0.61,-1.11
401353273,6701,CUT,-0.48,-1.36,0.19,-1.46,-2.63,-3.11
401353273,4423323,CUT,0.52,0.12,0.15,-0.86,-0.48,0.04
401353273,11393,CUT,-0.89,-0.58,-1.41,0.77,-1.22,-2.11
401353273,9474,CUT,1.32,0.42,-1.18,-2.55,-3.18,-1.86
401353273,4364752,CUT,0.96,-1.74,-0.8,-0.54,-3.07,-2.11
401353273,4844,CUT,0.36,-0.24,-2.98,-0.75,-3.97,-3.61
401353273,11387,CUT,-2.08,1.06,-1.55,-1.14,-1.69,-3.77
401353273,619,CUT,-1.37,-0.73,1.45,0.03,0.77,-0.61
401353273,3856,CUT,1.94,-0.91,-1.61,-0.13,-2.71,-0.77
401353273,5902,CUT,-3.27,-0.87,1.12,0.92,1.17,-2.11
401353273,1680,CUT,-0.11,0.17,-0.55,0.38,0,-0.11
401353273,446,CUT,0.04,-0.26,-0.4,-1.51,-2.15,-2.11
401353273,10363,CUT,0.72,-0.32,-0.83,-0.18,-1.33,-0.61
401353273,6689,CUT,2.54,-2.45,-1.19,-2.01,-5.65,-3.11
401353273,7083,CUT,-1.98,-1.61,-0.15,-0.38,-2.13,-4.11
401353273,1778,CUT,-0.36,-1.85,0.94,0.17,-0.75,-1.11
401353273,4404991,CUT,-2.42,-0.56,0.5,-0.13,-0.19,-2.61
401353273,455,CUT,-0.54,0.7,-0.72,-2.05,-2.07,-2.61
401353273,4859,CUT,0.82,0.7,-2.59,0.93,-1.03,-0.22
401353273,6954,CUT,0.06,-0.85,-1.85,1.04,-1.66,-1.61
401353273,6151,CUT,0.97,-0.5,-1.34,0.26,-1.58,-0.61
401353273,10548,CUT,-1.63,0.01,-3.28,0.29,-2.98,-4.61
401353273,10048,CUT,-0.32,-1.12,-0.55,0.87,-0.79,-1.11
401353273,3792,CUT,-0.84,-0.42,0.13,0.03,-0.27,-1.11
401353273,1042,CUT,-2.71,-1.78,1.18,0.2,-0.41,-3.11
401353273,10831,CUT,-1.52,-1.45,0.77,0.58,-0.09,-1.61
401353273,3980,CUT,-1.44,-1.24,0.76,0.31,-0.17,-1.61
401353273,707,CUT,-0.86,0.88,0.79,-0.83,0.86,-0.01
401353273,1548,CUT,0.99,-0.38,-0.82,-0.4,-1.6,-0.61
401353273,3702,CUT,0.05,-0.14,0.27,-1.28,-1.16,-1.11
401353273,5619,CUT,-2.01,-0.92,1.33,0.48,0.9,-1.11
401353273,6937,CUT,0,-0.05,-0.99,-0.45,-1.35,-1.36
401353273,4449,CUT,-0.27,-0.22,-2.81,0.69,-2.34,-2.61
401353273,10932,CUT,0.68,0.02,-2.45,1.15,-1.28,-0.61
401353273,7001,CUT,-1.85,0.39,-0.19,-0.37,-0.16,-2.01
401353273,4643,CUT,0.29,-0.72,0.34,-0.53,-0.9,-0.61
401353273,9569,CUT,-1.8,-1.36,0.05,-1,-2.31,-4.11
401353273,4410612,CUT,0.78,-0.91,-1.83,-0.15,-2.89,-2.11
401353273,10664,CUT,-1.02,0.11,-1.05,-0.17,-1.23,-2.25
401353273,9626,CUT,-1.42,0.51,-0.39,1.19,1.31,-0.11
401353273,4989,T13,0.6,-0.41,0.85,0.63,1.07,1.67
401353273,9931,T13,0.71,0.57,-0.13,0.52,0.96,1.67
401353273,7081,T13,0.37,0.65,0.13,0.52,1.29,1.67
401353273,3378,T13,0.97,1.04,-0.24,-0.1,0.69,1.67
401353273,686,T13,0.86,-0.2,1.15,-0.14,0.81,1.67
401353273,16,T18,1.33,1.12,-0.55,-0.47,0.04,1.37
401353273,1222,T18,-1.29,0.89,1.43,0.4,2.71,1.42
401353273,10054,T18,0.6,-0.28,0.81,0.29,0.82,1.42
401353273,576,T18,0.31,0.59,0.24,0.28,1.11,1.42
401353273,1030,T18,-0.44,0.83,0.07,0.96,1.86,1.42
401353273,3857,T18,0.65,-0.09,0.31,0.55,0.77,1.42
401353273,1077,T18,0.17,1.13,-0.39,0.5,1.24,1.42
401353273,676,T18,0.08,0.99,-0.34,0.69,1.34,1.42
401353273,1600,T18,-0.64,0.6,1.51,-0.06,2.05,1.42
401353273,11253,T18,1.93,-0.11,-0.28,-0.13,-0.51,1.42
401353273,1195,T18,0.85,0.02,0.95,-0.41,0.56,1.42
401353273,1367,T2,0.59,0.47,0.85,0.5,1.83,2.42
401353273,257,T2,1.86,0.27,0.42,-0.14,0.56,2.42
401353273,10906,T29,0.64,0.34,0.25,-0.07,0.53,1.17
401353273,2571,T29,0.06,-0.01,0.18,0.93,1.11,1.17
401353273,2230,T29,0.52,-0.85,0.97,0.52,0.65,1.17
401353273,4408315,T29,0.93,0.17,-0.14,0.21,0.23,1.17
401353273,6015,T35,-0.14,-0.09,0.52,0.62,1.05,0.92
401353273,9126,T35,-0.12,-0.52,0.54,1.02,1.04,0.92
401353273,3449,T35,-0.72,1.03,0.4,0.21,1.64,0.92
401353273,5467,T35,-1.79,0.57,1.53,0.61,2.71,0.92
401353273,9530,T35,-0.48,-0.7,1.12,0.97,1.4,0.92
401353273,5548,T4,-0.29,0.68,1.07,0.71,2.46,2.17
401353273,6011,T4,1.82,0.54,-0.48,0.33,0.4,2.22
401353273,208,T4,-0.46,0.39,0.79,1.44,2.62,2.17
401353273,3970,T4,2.47,-0.19,0.27,-0.38,-0.3,2.17
401353273,5502,T41,-0.23,0.16,0.31,0.18,0.6,0.37
401353273,6017,T41,-0.34,-0.05,0.52,0.54,1,0.67
401353273,11333,T41,0.28,0.09,-0.4,0.21,-0.03,0.24
401353273,5797,T41,0.11,-0.69,0.86,0.38,0.56,0.67
401353273,10505,T41,0.8,-0.51,0.35,0.02,-0.14,0.67
401353273,5692,T41,0.94,0.58,-0.86,0,-0.28,0.67
401353273,3596,T48,0.01,0.52,-0.88,0.77,0.41,0.42
401353273,962,T48,-0.62,0.23,0.77,0.04,1.03,0.42
401353273,9804,T48,1.06,-0.42,0.21,-0.43,-0.64,0.42
401353273,3532,T48,-0.07,0.93,-0.2,-0.24,0.49,0.42
401353273,5704,T53,1.33,-0.53,-0.24,-0.41,-1.17,0.17
401353273,5573,T53,-1.81,-0.07,1.22,0.83,1.98,0.17
401353273,5962,T53,-1.06,-0.15,1.43,-0.05,1.22,0.17
401353273,1059,T53,-0.76,0.72,-0.24,0.44,0.93,0.17
401353273,6090,T53,-0.06,0.36,0.24,-0.37,0.23,0.17
401353273,5504,T58,-0.58,-1.54,1.7,0.34,0.5,-0.08
401353273,601,T58,0.13,-0.31,0.81,-0.71,-0.21,-0.08
401353273,6825,T58,-0.19,0.1,0.36,-0.56,-0.1,-0.28
401353273,4483,T61,-0.98,0.49,0.32,-0.17,0.65,-0.33
401353273,774,T63,0.51,-0.37,-0.12,-0.61,-1.09,-0.58
401353273,4638,T63,0.19,-0.9,-0.42,0.54,-0.77,-0.58
401353273,10058,T63,-1.47,0.29,0.27,0.31,0.83,-0.64
401353273,4267,T63,-0.03,1.17,-1.06,-0.66,-0.55,-0.58
401353273,11448,T67,1.47,-1,-0.17,-1.14,-2.3,-0.83
401353273,10980,T67,0.04,0.37,-0.59,-0.33,-0.51,-0.47
401353273,5025,T69,-0.84,-0.02,-0.27,0.04,-0.24,-1.08
401353273,1674,T69,-0.19,-0.12,-0.04,-0.74,-0.9,-1.08
401353273,3598,T71,-0.88,0.01,-0.4,-0.57,-0.95,-1.83
401353273,11119,T71,-0.29,-0.1,-0.44,-1,-1.54,-1.83
401353273,3454,T8,1.1,0.26,0.49,0.07,0.82,1.92
401353273,5167,T8,0.98,0.13,0.76,0.05,0.94,1.92
401353273,3550,T8,0.45,-0.2,1.52,0.15,1.47,1.92
401353273,4513,T8,-0.24,1.44,0.79,-0.53,1.71,1.47
401353273,5729,T8,0.47,1.34,0.61,-0.5,1.45,1.92
401353273,769,WD,-2.64,-1.7,-1.39,0.47,-2.62,-5.25
401353273,5860,WD,-0.33,-1.24,0.73,-1.43,-1.93,-2.25
401353273,3793,WD,-0.88,-1.54,-1.48,-0.36,-3.37,-4.25
401353255,9938,1,1.29,0.72,1.75,-0.26,2.2,3.5
401353255,10058,2,1.77,1.28,-0.62,1.07,1.73,3.5
401353255,9261,CUT,0.29,-0.73,-0.57,0.22,-1.08,-0.8
401353255,9517,CUT,-0.45,-0.34,-2.52,-0.48,-3.34,-3.79
401353255,4682,CUT,-1.03,0.16,-0.88,0.95,0.23,-0.8
401353255,6015,CUT,0.77,-0.85,0.01,0.27,-0.56,0.2
401353255,5502,CUT,-0.45,-1.28,-2.56,-0.01,-3.85,-4.29
401353255,10372,CUT,-1.51,-1.13,-0.01,-0.65,-1.78,-3.29
401353255,9484,CUT,1.49,-0.9,-2.27,0.39,-2.79,-1.29
401353255,10577,CUT,-0.92,-0.96,0.86,0.73,0.63,-0.29
401353255,1626,CUT,-1.92,-0.99,-1.85,-0.04,-2.88,-4.79
401353255,159,CUT,1.79,0.61,-3.42,-0.28,-3.08,-1.29
401353255,4383,CUT,-1.28,0.13,-0.88,0.23,-0.52,-1.79
401353255,3454,CUT,-1.64,-0.06,0.75,-0.35,0.35,-1.29
401353255,780,CUT,-0.96,2.35,-0.99,-0.19,1.17,0.2
401353255,5704,CUT,-0.33,-0.69,-0.65,-1.12,-2.46,-2.79
401353255,205,CUT,-3.58,-0.55,-0.09,-1.07,-1.72,-5.29
401353255,5532,CUT,-0.9,-0.86,0.83,0.64,0.61,-0.29
401353255,1121,CUT,-1.18,-0.73,-0.28,-1.11,-2.12,-3.29
401353255,1097,CUT,-1.95,-0.77,-0.21,0.63,-0.35,-2.29
401353255,278,CUT,-0.27,-0.52,-1.77,0.26,-2.03,-2.29
401353255,4304,CUT,-1.18,1.9,-0.28,-0.23,1.39,0.2
401353255,4423323,CUT,-0.08,0.88,-1.13,0.03,-0.22,-0.29
401353255,5882,CUT,0.25,-1.43,-0.41,-0.2,-2.04,-1.79
401353255,1483,CUT,-2.96,-0.9,-0.71,-1.23,-2.84,-5.79
401353255,4845307,CUT,-1.24,-0.43,-0.71,0.08,-1.05,-2.29
401353255,4364752,CUT,-0.5,-1.46,-0.17,0.33,-1.29,-1.79
401353255,11387,CUT,-0.13,-0.71,0.5,-0.46,-0.66,-0.8
401353255,5573,CUT,-0.51,-0.17,0.7,0.18,0.71,0.2
401353255,3856,CUT,-2.63,0.2,-3.03,-1.33,-4.17,-6.79
401353255,1680,CUT,-0.78,-0.14,0.62,-0.5,-0.01,-0.8
401353255,5025,CUT,-1.43,1.59,-1.66,1.2,1.14,-0.29
401353255,3598,CUT,-0.01,-0.45,-1.31,-0.03,-1.78,-1.79
401353255,3317,CUT,-1.86,0.13,-0.77,0.2,-0.43,-2.29
401353255,10505,CUT,-0.01,1.03,-0.6,-0.72,-0.29,-0.29
401353255,446,CUT,0.08,-0.1,-0.33,0.05,-0.38,-0.29
401353255,4513,CUT,0.55,0.01,-0.86,0.51,-0.34,0.2
401353255,10364,CUT,-0.51,-1.15,-0.1,-1.03,-2.28,-2.79
401353255,6689,CUT,-1.21,0.54,-0.04,0.41,0.91,-0.29
401353255,1778,CUT,-1,-0.51,0.32,0.89,0.7,-0.29
401353255,5962,CUT,-1.3,-0.83,-1.41,-1.25,-3.49,-4.79
401353255,4404991,CUT,-0.06,-0.62,-1.24,0.63,-1.23,-1.29
401353255,6931,CUT,2.22,-0.51,-1.04,-0.96,-2.51,-0.29
401353255,2571,CUT,-1.15,-0.05,0.88,-0.47,0.36,-0.8
401353255,5729,CUT,-1.5,0.09,0.93,-0.8,0.21,-1.29
401353255,6151,CUT,1.34,-0.17,-2.48,-1.99,-4.64,-3.29
401353255,10548,CUT,-0.65,0.44,0.65,-0.24,0.85,0.2
401353255,438,CUT,-1.67,-1.18,-2.83,-0.61,-4.63,-6.29
401353255,5692,CUT,-1.5,-0.4,-0.69,-0.2,-1.29,-2.79
401353255,6090,CUT,0.3,-0.64,0.7,-0.15,-0.09,0.2
401353255,6937,CUT,-0.46,-0.33,-0.28,-0.72,-1.33,-1.79
401353255,4449,CUT,-4,0.2,-0.94,-1.06,-1.8,-5.79
401353255,1359,CUT,0.64,1.31,-2.03,0.28,-0.43,0.2
401353255,1037,CUT,-0.13,-0.56,0.69,0.21,0.33,0.2
401353255,10932,CUT,-0.73,-0.76,0.51,-0.81,-1.07,-1.79
401353255,7001,CUT,0.19,-0.41,-0.8,0.73,-0.49,-0.29
401353255,1798,CUT,-0.68,-0.71,-0.83,-1.58,-3.12,-3.79
401353255,10664,CUT,-1.35,-1.03,-0.06,0.15,-0.94,-2.29
401353255,9626,CUT,-2.79,-0.15,-1.69,0.33,-1.5,-4.29
401353255,1185,CUT,-0.71,-0.34,-0.61,-0.13,-1.08,-1.79
401353255,4408315,CUT,0.67,-0.36,-1.66,0.06,-1.97,-1.29
401353255,11119,CUT,-1.06,-0.68,-0.78,0.23,-1.24,-2.29
401353255,3532,CUT,0.47,0.48,-1.56,0.32,-0.76,-0.29
401353255,686,CUT,0.36,0.09,-1.01,-0.24,-1.16,-0.8
401353255,3832,T12,1.3,0.79,-0.27,0.17,0.7,2
401353255,6798,T12,0.67,-0.22,0.9,0.64,1.33,2
401353255,4587,T12,0.3,-0.02,1.13,0.59,1.7,2
401353255,10140,T12,-0.01,-0.11,1.25,0.86,2,2
401353255,3599,T16,0.51,1.09,0.83,-0.68,1.24,1.75
401353255,601,T16,0.55,-0.21,1.54,-0.13,1.2,1.75
401353255,257,T16,0.19,1.55,-0.11,0.11,1.55,1.75
401353255,3378,T16,2.02,0.46,-0.71,-0.03,-0.28,1.75
401353255,5539,T16,0.98,0.22,0.13,0.42,0.77,1.75
401353255,9584,T21,0.84,0.09,0.35,0.21,0.66,1.5
401353255,3550,T21,-0.2,0.61,1.12,-0.04,1.69,1.5
401353255,9804,T21,0.1,0.63,0.69,0.09,1.4,1.5
401353255,5553,T21,0.07,-0.34,1.35,0.41,1.43,1.5
401353255,9569,T25,0.49,0.39,0.13,0.24,0.76,1.25
401353255,2283,T27,0.94,-0.15,-0.03,0.23,0.06,0.99
401353255,10166,T27,-0.79,-0.38,1.47,0.69,1.78,0.99
401353255,1030,T27,0.73,-1.28,1.25,0.3,0.26,0.99
401353255,9931,T27,0.06,-0.75,1.05,0.64,0.93,0.99
401353255,1600,T27,0.65,-0.26,0.3,0.3,0.34,0.99
401353255,3970,T27,-0.31,0.77,0.71,-0.18,1.3,0.99
401353255,4848,T3,0.76,0.08,1.84,0.56,2.49,3.25
401353255,6954,T3,0.93,0.07,1.98,0.26,2.31,3.25
401353255,4317,T33,-1.23,0.6,0.84,0.53,1.98,0.74
401353255,4355673,T33,1.02,-1.02,0.4,0.34,-0.27,0.74
401353255,10363,T33,2.12,-0.04,-1.07,-0.27,-1.38,0.74
401353255,2552,T33,1.26,0.24,-0.13,-0.62,-0.51,0.74
