tournament_id,season,purse,no_cut
401353273,2022,8.6,0
401353255,2022,7.8,0
401353254,2022,20,0
401353239,2022,12,0
401353238,2022,8,0
401353237,2022,12,0
401353236,2022,8.2,0
401353235,2022,8.7,0
401353234,2022,8.4,0
401353233,2022,7.6,0
401353232,2022,15,0
401353231,2022,8,0
401353229,2022,7.3,0
401353228,2022,9,0
401353227,2022,9.1,0
401353226,2022,15,0
401353225,2022,8.4,0
401353224,2022,12,0
401353204,2022,7.5,0
401353203,2022,8.2,1
401353202,2022,7.2,0
401353201,2022,7.5,0
401353196,2022,9.75,1
401353195,2022,7,0
401353194,2022,7,0
401353193,2022,7,0
401317529,2021,7.3,0
401243433,2021,6.9,0
401243420,2021,8.1,0
401243419,2021,8.1,0
401243418,2021,12,0
401243417,2021,7.5,0
401243416,2021,9.3,0
401243414,2021,12.5,0
401243413,2021,7.4,0
401243412,2021,7.5,0
401243411,2021,6.2,0
401243409,2021,3.5,0
401243408,2021,6.6,0
401243407,2021,10.5,1
401243405,2021,6.4,0
401243404,2021,9.5,1
401243403,2021,9.5,1
401243402,2021,9,1
401243401,2021,6.7,0
401243011,2021,7.1,0
401243009,2021,7.7,0
401243006,2021,7,0
401243005,2021,15,0
401243004,2021,9.3,0
401243002,2021,10.5,1
401243001,2021,9.3,0
401243000,2021,7.8,0
401242999,2021,7.3,0
401242998,2021,7.5,0
401242997,2021,6.6,0
401242996,2021,6.7,1
401223849,2020,6.2,0
401219801,2021,6.6,0
401219800,2021,7,0
401219797,2021,8,1
401219796,2021,9.75,1
401219795,2021,7,0
401219794,2021,6.6,0
401219793,2021,6.6,0
401219498,2020,7.1,0
401219481,2020,11,0
401219333,2021,12.5,0
401155476,2020,9,1
401155475,2020,9.5,1
401155474,2020,9.5,0
401155473,2020,6.4,0
401155472,2020,6.6,0
401155467,2020,10.5,1
401155466,2020,7.4,0
401155461,2020,9.3,0
401155460,2020,7.5,0
401155459,2020,7.5,0
401155427,2020,9.3,0
401155426,2020,7,0
401155424,2020,10.5,1
401155423,2020,9.3,0
401155422,2020,7.8,0
401155421,2020,7.3,0
401155420,2020,7.5,0
401155419,2020,6.7,0
401155418,2020,6.6,0
401155413,2020,6.7,1
401148243,2020,6.6,0
401148237,2020,7.5,0
401148236,2020,7,0
401148235,2020,6.6,0
401148234,2020,6.6,0
401148233,2020,7.2,0
401056559,2019,10.25,1
401056558,2019,6.4,0
401056557,2019,7.3,0
401056556,2019,12.5,0
401056555,2019,7.6,0
401056554,2019,9.1,0
401056553,2019,7.3,0
401056552,2019,10.5,0
401056551,2019,7.9,0
401056550,2019,7.9,0
401056549,2019,7.2,0
401056548,2019,6,0
401056546,2019,3.5,0
401056545,2019,6.2,0
